ID,Video Name,Release Date,Webpage URL,Video URL,Resolution,Video Length,FPS,Number of Frames,Date of Acquisition,File Size,Subtitles,Sentences,Tokens,Characters
115,heute journal-heute journal vom 13. Oktober 2022 (Gebärdensprache)-0217653763,2022-10-13,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-13-oktober-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/10/221013_sendung_hjo_dgs/1/221013_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"1810,12",25,45253,08/01/2022,114.77,555,330,4025,27247
116,heute journal-heute journal vom 14. Oktober 2022 (Gebärdensprache)-0875214121,2022-10-14,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-14-oktober-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/10/221014_2200_sendung_hjo_dgs/1/221014_2200_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"1855,88",25,46397,08/01/2022,119.06,563,274,3965,27194
117,heute journal-heute journal vom 15. Oktober 2022 (Gebärdensprache)-0034379927,2022-10-15,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-15-oktober-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/10/221015_2245_sendung_hjo_dgs/1/221015_2245_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"890,52",25,22263,08/01/2022,51.6,270,140,1841,12587
118,heute journal-heute journal vom 16. Oktober 2022 (Gebärdensprache)-0571449637,2022-10-16,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-16-oktober-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/10/221016_2145_sendung_hjo_dgs/1/221016_2145_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"1794,88",25,44872,08/01/2022,116.81,539,286,3763,25606
119,heute journal-heute journal vom 17. Oktober 2022 (Gebärdensprache)-1740446307,2022-10-17,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-17-oktober-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/10/221017_2145_sendung_hjo_dgs/1/221017_2145_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"1811,44",25,45286,08/01/2022,121.76,565,331,3951,26962
120,heute journal-heute journal vom 18. Oktober 2022 (Gebärdensprache)-1385524319,2022-10-18,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-18-oktober-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/10/221018_2145_sendung_hjo_dgs/1/221018_2145_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"1736,24",25,43406,08/01/2022,106.28,580,312,4026,27014
121,heute journal-heute journal vom 19. Oktober 2022 (Gebärdensprache)-1362373783,2022-10-19,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-19-oktober-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/10/221019_2130_sendung_hjo_dgs/1/221019_2130_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"571,52",25,14288,08/01/2022,34.46,168,93,1104,7752
122,heute journal-heute journal vom 20. Oktober 2022 (Gebärdensprache)-0268404685,2022-10-20,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-20-oktober-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/10/221020_2145_sendung_hjo_dgs/1/221020_2145_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"1896,52",25,47413,08/01/2022,123.42,629,355,4226,28830
123,heute journal-heute journal vom 21. Oktober 2022 (Gebärdensprache)-0752617487,2022-10-21,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-21-oktober-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/10/221021_2200_sendung_hjo_dgs/1/221021_2200_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"1870,12",25,46753,08/01/2022,92.33,578,341,4069,27927
124,heute journal-heute journal vom 22. Oktober 2022 (Gebärdensprache)-0738204739,2022-10-22,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-22-oktober-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/10/221022_sendung_hjo_dgs/1/221022_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"887,04",25,22176,08/01/2022,48.19,260,149,1873,12783
